_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,clee,id_establecimiento,nombre,razon_social,clase_actividad,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,cp,ubicacion,telefono,correo_e,sitio_internet,tipo_establecimiento,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,ageb,manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,fecha_alta,area_geo,nombre_clean,razon_social_clean,clase_actividad_clean,estrato_clean,colonia_clean,ubicacion_clean,nivel_educativo_estimado,flag_universidad,flag_media_superior,flag_educacion_basica,estrato_ocupacion_estimado
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09015611312000136000000000U1,1059370,ACADEMIA DE SAN CARLOS,UNAM,Escuelas de educación superior del sector público,101 a 250 personas,CALLE,EMILIANO ZAPATA,39,,CENTRO,06060,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",,,ACADEMIASANCARLOS.UNAM.MX,Fijo,-99.12804346,19.4331231,,,,0771,021,611312,,61,611,6113,61131,,COLONIA,2014-12,090150001,academia de san carlos,unam,escuelas de educacion superior del sector publico,101 a 250 personas,centro,"cuauhtemoc , cuauhtemoc, ciudad de mexico",superior_universitaria,True,False,False,101 a 250 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09015611311002282000000000U3,11473226,ACADEMIA INTERNACIONAL DE FORMACION EN CIENCIAS FORENSES,ACADEMIA INTERNACIONAL DE FORMACION EN CIENCIAS FORENSES,Escuelas de educación superior del sector privado,6 a 10 personas,CALLE,DOCTOR C LICEAGA,112,,DOCTORES,06720,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14907025,19.42202127,,,,1534,010,611311,,61,611,6113,61131,,COLONIA,2024-11,090150001,academia internacional de formacion en ciencias forenses,academia internacional de formacion en ciencias forenses,escuelas de educacion superior del sector privado,6 a 10 personas,doctores,"cuauhtemoc , cuauhtemoc, ciudad de mexico",superior_universitaria,True,False,False,6 a 10 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09015611311002305000000000U2,12284670,ACADEMIA INTERNACIONAL DE FORMACION EN CIENCIAS FORENSES,ACADEMIA INTERNACIONAL DE FORMACION EN CIENCIAS FORENSES,Escuelas de educación superior del sector privado,51 a 100 personas,CALLE,DOCTOR C LICEAGA,103,,DOCTORES,06720,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14844845,19.42209426,,,,1534,009,611311,,61,611,6113,61131,,COLONIA,2026-04,090150001,academia internacional de formacion en ciencias forenses,academia internacional de formacion en ciencias forenses,escuelas de educacion superior del sector privado,51 a 100 personas,doctores,"cuauhtemoc , cuauhtemoc, ciudad de mexico",superior_universitaria,True,False,False,51 a 100 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09015611311000885202004033M5,6319194,AGRUPACION VISION PROGRESO Y ASISTENCIA,UNIVERSIDAD ICEL SERVICIOS EDUCATIVOS,Escuelas de educación superior del sector privado,251 y más personas,AVENIDA,SAN JERONIMO,424,,JARDINES DEL PEDREGAL,1900,"ÁLVARO OBREGÓN                                                                                                , Álvaro Obregón, CIUDAD DE MÉXICO",,DIANA.PACHECO@SC.NACER-GLOBAL.COM.MX,WWW.ICEL.EDU.MX,Fijo,-99.20283493,19.33288949,EDIFICIO COMERCIAL Y DE SERVICIOS,CORPORATIVO SAN JERONIMO 424,458,1260,008,611311,,61,611,6113,61131,,COLONIA,2013-07,090100001,agrupacion vision progreso y asistencia,universidad icel servicios educativos,escuelas de educacion superior del sector privado,251 y mas personas,jardines del pedregal,"alvaro obregon , alvaro obregon, ciudad de mexico",superior_universitaria,True,False,False,251 y más personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09003611312000251001000000U4,1059395,ALBERCA OLAMPICA DE CIUDAD UNIVERSITARIA,UNAM,Escuelas de educación superior del sector público,101 a 250 personas,CIRCUITO,ESCOLAR,,,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,04510,"COYOACÁN                                                                                                      , Coyoacán, CIUDAD DE MÉXICO",5556220601,CONTACTO@DEPORTE.UNAM.MX,,Fijo,-99.18477607,19.33050909,,,,0770,001,611312,,61,611,6113,61131,,CIUDAD,2010-07,090030001,alberca olampica de ciudad universitaria,unam,escuelas de educacion superior del sector publico,101 a 250 personas,universidad nacional autonoma de mexico ciudad universitaria,"coyoacan , coyoacan, ciudad de mexico",superior_universitaria,True,False,False,101 a 250 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09002611312000033000000000U8,846442,ANTIGUA ESCUELA DE CIENCIAS QUIMICAS,UNAM,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,MAR DEL NORTE,5,,SAN ÁLVARO,02090,"AZCAPOTZALCO                                                                                                  , Azcapotzalco, CIUDAD DE MÉXICO",,,WWW.QUIMICA.UNAM.MX,Fijo,-99.18718393,19.46054124,,,,0792,003,611312,,61,611,6113,61131,,COLONIA,2014-12,090020001,antigua escuela de ciencias quimicas,unam,escuelas de educacion superior del sector publico,11 a 30 personas,san alvaro,"azcapotzalco , azcapotzalco, ciudad de mexico",superior_universitaria,True,False,False,11 a 30 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09015465915001031011000000U0,969473,ANTIGUA ESCUELA DE JURISPRUDENCIA AC,FEIDECOMISO DE LA CASA DE LOS ARTESANALES,Escuelas de educación superior del sector privado,6 a 10 personas,CALLE,SAN ILDEFONSO,28,,CENTRO,06500,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13112259,19.43653427,,,,0659,020,611311,,61,611,6113,61131,,COLONIA,2010-07,090150001,antigua escuela de jurisprudencia ac,feidecomiso de la casa de los artesanales,escuelas de educacion superior del sector privado,6 a 10 personas,centro,"cuauhtemoc , cuauhtemoc, ciudad de mexico",superior_universitaria,True,False,False,6 a 10 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09003611312000923002000000U8,1061178,ARCHIVO GENERAL,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Escuelas de educación superior del sector público,101 a 250 personas,CALLE,NINGUNO,,,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,04510,"COYOACÁN                                                                                                      , Coyoacán, CIUDAD DE MÉXICO",,ARCHIVOGENERAL@DGSG.UNAM.MX,WWW.DGSG.UNAN.MX,Fijo,-99.17909713,19.31263545,,,,0770,017,611312,,61,611,6113,61131,,CIUDAD,2010-07,090030001,archivo general,universidad nacional autonoma de mexico,escuelas de educacion superior del sector publico,101 a 250 personas,universidad nacional autonoma de mexico ciudad universitaria,"coyoacan , coyoacan, ciudad de mexico",superior_universitaria,True,False,False,101 a 250 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09015931610002332011000000U4,886057,ARCHIVO HISTORICO DE LA ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,ESCUELA PUBLICA INSTITUTO POLITECNICO NACIONAL,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,BELISARIO DOMINGUEZ,16,,CENTRO,06010,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",5555260611,,,Fijo,-99.13879092,19.43846307,,,,0644,021,611312,,61,611,6113,61131,,COLONIA,2014-12,090150001,archivo historico de la escuela superior de ingenieria mecanica y electrica,escuela publica instituto politecnico nacional,escuelas de educacion superior del sector publico,11 a 30 personas,centro,"cuauhtemoc , cuauhtemoc, ciudad de mexico",superior_universitaria,True,False,False,11 a 30 personas
denue,denue_cdmx_educacion_superior_universitaria,2026-06-08T13:17:26Z,2026-06-08,20260608T131619Z,09014611312000187001000000U7,9301984,AREA CENTRAL DEL TECNOLOGICO NACIONAL DE MEXICO,TECNOLOGICO NACIONAL DE MEXICO,Escuelas de educación superior del sector público,11 a 30 personas,AVENIDA,UNIVERSIDAD,1200,,XOCO,03330,"BENITO JUÁREZ                                                                                                 , Benito Juárez, CIUDAD DE MÉXICO",,D_PERSONAL@TECNM.MX,WWW.TECNM.MX,Fijo,-99.17055324,19.36160276,,,,0967,004,611312,,61,611,6113,61131,,COLONIA,2020-11,090140001,area central del tecnologico nacional de mexico,tecnologico nacional de mexico,escuelas de educacion superior del sector publico,11 a 30 personas,xoco,"benito juarez , benito juarez, ciudad de mexico",superior_universitaria,True,False,False,11 a 30 personas
