_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,1,0,3,36,0,1,0,1,1780630797,False,False,2026-06-05 03:39:57
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,5,0,2,17,0,1,0,1,1780635753,False,False,2026-06-05 05:02:33
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,6,0,7,20,0,1,0,1,1780635247,False,False,2026-06-05 04:54:07
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,7,0,0,0,0,1,0,0,86400,False,False,1970-01-02 00:00:00
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,8,0,4,27,0,1,0,1,1780636515,False,False,2026-06-05 05:15:15
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,9,0,0,23,0,1,0,1,1780629752,False,False,2026-06-05 03:22:32
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,10,0,0,23,0,1,0,1,1780630271,False,False,2026-06-05 03:31:11
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,11,0,1,26,0,1,0,1,1780641655,False,False,2026-06-05 06:40:55
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,12,0,1,26,0,1,0,1,1780637171,False,False,2026-06-05 05:26:11
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,14,0,1,34,0,1,0,1,1780640301,False,False,2026-06-05 06:18:21
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,15,0,2,21,0,1,0,1,1780630960,False,False,2026-06-05 03:42:40
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,16,0,10,17,0,1,0,1,1780640282,False,False,2026-06-05 06:18:02
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,17,0,3,20,0,1,0,1,1780641522,False,False,2026-06-05 06:38:42
ecobici,ecobici_gbfs_station_status,2026-06-05T06:49:38Z,2026-06-05,20260605T064937Z,18,0,0,35,0,1,0,1,1780641984,False,False,2026-06-05 06:46:24
